Number of Bending,ZTO,Ag,Cu,Storage time,Square resistance
590,10,12,0,14,12.702
600,10,12,0,14,12.967
0,40,12,0,28,8.374
10,40,12,0,28,8.3775
20,40,12,0,28,8.381
30,40,12,0,28,8.3845
40,40,12,0,28,8.388
50,40,12,0,28,8.3915
60,40,12,0,28,8.395
70,40,12,0,28,8.3985
80,40,12,0,28,8.402
90,40,12,0,28,8.4055
100,40,12,0,28,8.409
110,40,12,0,28,8.428
120,40,12,0,28,8.447
130,40,12,0,28,8.466
140,40,12,0,28,8.485
150,40,12,0,28,8.504
160,40,12,0,28,8.523
170,40,12,0,28,8.542
180,40,12,0,28,8.561
190,40,12,0,28,8.58
200,40,12,0,28,8.599
210,40,12,0,28,8.6164
220,40,12,0,28,8.6338
230,40,12,0,28,8.6512
240,40,12,0,28,8.6686
250,40,12,0,28,8.686
260,40,12,0,28,8.7034
270,40,12,0,28,8.7208
280,40,12,0,28,8.7382
290,40,12,0,28,8.7556
300,40,12,0,28,8.773
310,40,12,0,28,8.7998
320,40,12,0,28,8.8266
330,40,12,0,28,8.8534
340,40,12,0,28,8.8802
350,40,12,0,28,8.907
360,40,12,0,28,8.9338
370,40,12,0,28,8.9606
380,40,12,0,28,8.9874
390,40,12,0,28,9.0142
400,40,12,0,28,9.041
410,40,12,0,28,9.0914
420,40,12,0,28,9.1418
430,40,12,0,28,9.1922
440,40,12,0,28,9.2426
450,40,12,0,28,9.293
460,40,12,0,28,9.3434
470,40,12,0,28,9.3938
480,40,12,0,28,9.4442
490,40,12,0,28,9.4946
500,40,12,0,28,9.545
510,40,12,0,28,9.6596
520,40,12,0,28,9.7742
530,40,12,0,28,9.8888
540,40,12,0,28,10.0034
550,40,12,0,28,10.118
560,40,12,0,28,10.2326
570,40,12,0,28,10.3472
580,40,12,0,28,10.4618
590,40,12,0,28,10.5764
600,40,12,0,28,10.691
0,30,12,0,28,8.105
10,30,12,0,28,8.1048
20,30,12,0,28,8.1046
30,30,12,0,28,8.1044
40,30,12,0,28,8.1042
50,30,12,0,28,8.104
60,30,12,0,28,8.1038
70,30,12,0,28,8.1036
80,30,12,0,28,8.1034
90,30,12,0,28,8.1032
100,30,12,0,28,8.103
110,30,12,0,28,8.1227
120,30,12,0,28,8.1424
130,30,12,0,28,8.1621
140,30,12,0,28,8.1818
150,30,12,0,28,8.2015
160,30,12,0,28,8.2212
170,30,12,0,28,8.2409
180,30,12,0,28,8.2606
190,30,12,0,28,8.2803
200,30,12,0,28,8.3
210,30,12,0,28,8.3494
220,30,12,0,28,8.3988
230,30,12,0,28,8.4482
240,30,12,0,28,8.4976
250,30,12,0,28,8.547
260,30,12,0,28,8.5964
270,30,12,0,28,8.6458
280,30,12,0,28,8.6952
290,30,12,0,28,8.7446
300,30,12,0,28,8.794
310,30,12,0,28,8.8364
320,30,12,0,28,8.8788
330,30,12,0,28,8.9212
340,30,12,0,28,8.9636
350,30,12,0,28,9.006
360,30,12,0,28,9.0484
370,30,12,0,28,9.0908
380,30,12,0,28,9.1332
390,30,12,0,28,9.1756
400,30,12,0,28,9.218
410,30,12,0,28,9.2749
420,30,12,0,28,9.3318
430,30,12,0,28,9.3887
440,30,12,0,28,9.4456
450,30,12,0,28,9.5025
460,30,12,0,28,9.5594
470,30,12,0,28,9.6163
480,30,12,0,28,9.6732
490,30,12,0,28,9.7301
500,30,12,0,28,9.787
510,30,12,0,28,9.9125
520,30,12,0,28,10.038
530,30,12,0,28,10.1635
540,30,12,0,28,10.289
550,30,12,0,28,10.4145
560,30,12,0,28,10.54
570,30,12,0,28,10.6655
580,30,12,0,28,10.791
590,30,12,0,28,10.9165
600,30,12,0,28,11.042
0,20,12,0,28,8.661
10,20,12,0,28,8.672
20,20,12,0,28,8.683
30,20,12,0,28,8.694
40,20,12,0,28,8.705
50,20,12,0,28,8.716
60,20,12,0,28,8.727
70,20,12,0,28,8.738
80,20,12,0,28,8.749
90,20,12,0,28,8.76
100,20,12,0,28,8.771
110,20,12,0,28,8.8355
120,20,12,0,28,8.9
130,20,12,0,28,8.9645
140,20,12,0,28,9.029
150,20,12,0,28,9.0935
160,20,12,0,28,9.158
170,20,12,0,28,9.2225
180,20,12,0,28,9.287
190,20,12,0,28,9.3515
200,20,12,0,28,9.416
210,20,12,0,28,9.5342
220,20,12,0,28,9.6524
230,20,12,0,28,9.7706
240,20,12,0,28,9.8888
250,20,12,0,28,10.007
260,20,12,0,28,10.1252
270,20,12,0,28,10.2434
280,20,12,0,28,10.3616
290,20,12,0,28,10.4798
300,20,12,0,28,10.598
310,20,12,0,28,10.8598
320,20,12,0,28,11.1216
330,20,12,0,28,11.3834
340,20,12,0,28,11.6452
350,20,12,0,28,11.907
360,20,12,0,28,12.1688
370,20,12,0,28,12.4306
380,20,12,0,28,12.6924
390,20,12,0,28,12.9542
400,20,12,0,28,13.216
410,20,12,0,28,13.1768
420,20,12,0,28,13.1376
430,20,12,0,28,13.0984
440,20,12,0,28,13.0592
450,20,12,0,28,13.02
460,20,12,0,28,12.9808
470,20,12,0,28,12.9416
480,20,12,0,28,12.9024
490,20,12,0,28,12.8632
500,20,12,0,28,12.824
510,20,12,0,28,13.1692
520,20,12,0,28,13.5144
530,20,12,0,28,13.8596
540,20,12,0,28,14.2048
550,20,12,0,28,14.55
560,20,12,0,28,14.8952
570,20,12,0,28,15.2404
580,20,12,0,28,15.5856
590,20,12,0,28,15.9308
600,20,12,0,28,16.276
0,10,12,0,28,5.372
10,10,12,0,28,5.3871
